"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim"
"TARA004";2594588;1322711;1317106;1315225;1285244;1256038
"TARA007";2034430;1153493;1147912;1147271;1128350;1105701
"TARA011";2203298;1607204;1599769;1600342;1571253;1532989
"TARA022";2079527;1503205;1495533;1495878;1449055;1427197
"TARA024";3055830;1250880;1244257;1244037;1226428;1211338
"TARA025";2321077;1256635;1250332;1250405;1230934;1212738
"TARA026";3134607;1641024;1633527;1633400;1614527;1587091
"TARA030";797465;429333;425362;425457;419003;412899
"TARA031";1644106;1145779;1138864;1138465;1123051;1102177
"TARA032";967018;737650;731229;731166;719116;705388
"TARA034";816180;243382;238565;239401;233035;230763
"TARA036";1735350;987816;982663;982395;970550;953554
"TARA041";2431221;1307773;1300872;1300891;1282921;1245732
"TARA042";3549280;1605930;1596562;1596755;1568165;1531973
"TARA052";2224566;1133124;1127349;1126574;1102709;1082902
"TARA064";2186939;1138369;1130548;1129626;1104813;1087965
"TARA065";2133413;1157526;1148841;1147872;1113103;1097411
"TARA066";2390588;1228897;1220074;1221128;1193250;1183463
"TARA067";3343823;1557323;1554075;1552903;1519829;1506628
"TARA076";1398181;895353;889653;889353;875543;848174
"TARA078";2267834;1092254;1085549;1084434;1046863;1035368
"TARA082";2071874;1500451;1497634;1497762;1485417;1458471
"TARA102";2692829;1309395;1303578;1303544;1265341;1253581
"TARA109";2344194;1291924;1281205;1279863;1251979;1197987
